"show_id","type","title","director","cast","country","date_added_cleaned","release_year","rating","duration","listed_in","description"
"s5931","Movie","Mission Blue","Robert Nixon, Fisher Stevens","James Cameron, Michael deGruy, Sylvia Earle, Bryce Groark, Jeremy Jackson, Carl Safina","United States, Bermuda, Ecuador","2014-08-15",2014,"TV-PG","94 min","Documentaries","This documentary follows oceanographer Sylvia Earle's campaign to save the world's oceans from threats such as overfishing and toxic waste."
"s5932","Movie","The Battered Bastards of Baseball","Chapman Way, Maclain Way","Todd Field, Kurt Russell","United States","2014-07-11",2014,"TV-MA","80 min","Documentaries, Sports Movies","The colorful true story of the Portland Mavericks, a scrappy, independent baseball team of underdogs started by actor Bing Russell in the 1970s."
"s5933","Movie","From One Second to the Next","Werner Herzog","Unknown Cast","United States","2014-04-15",2013,"TV-14","35 min","Documentaries","Werner Herzog chronicles the devastating consequences of texting and driving. The film examines how lives can be forever altered by a trivial text."
"s5934","TV Show","The Borgias","Unknown Director","Jeremy Irons, François Arnaud, Holliday Grainger, Peter Sullivan, Sean Harris, Joanne Whalley, Lotte Verbeek, Colm Feore, Vernon Dobtcheff, David Oakes","United States, Hungary, Ireland, Canada","2014-02-01",2013,"TV-MA","3 Seasons","TV Dramas","Follow the lives of the notorious Borgia family, a clan headed by plotting patriarch Rodrigo and his beautiful but treacherous daughter, Lucrezia."
"s5935","Movie","Mitt","Greg Whiteley","Mitt Romney","United States","2014-01-24",2014,"TV-PG","93 min","Documentaries","The real Mitt Romney is revealed in this documentary that goes beyond the sound bites with unprecedented access to his 2012 presidential campaign."
"s5936","Movie","The Square","Jehane Noujaim","Ahmed Hassan, Khalid Abdalla, Magdy Ashour, Ramy Essam, Bothaina Kamel, Dina Abdullah, Aida Elkashef, Ragia Omran, Pierre Seyoufr, Dina Amer, Sherif Boray, Khaled Nagy, Salma Saied, Ahmed Saleh, Alaa Seif","United Kingdom, Egypt, United States","2014-01-17",2013,"TV-MA","105 min","Documentaries, International Movies","This Emmy-winning, street-level view of the 2011 Egyptian Revolution captures the astonishing uprising that led to the collapse of two governments."
"s5937","Movie","Shrek the Musical","Jason Moore","Brian d'Arcy James, Daniel Breaker, Sutton Foster, Christopher Sieber, John Tartaglia, Rozi Baker, Ryan Duncan, Leah Greenhaus, Chris Hoch, Marissa O'Donnell, Denny Paschall","United States","2013-12-29",2013,"TV-G","130 min","Children & Family Movies, Comedies, Music & Musicals","The greatest fairy tale never told comes to life in this colorful, song-filled, Tony Award-winning Broadway production based on the hit movie."
"s5938","Movie","The Short Game","Josh Greenbaum","Sky Sudberry, Allan Kournikova, Jed Dy, Zamokuhle Nxasana, Alexa Pano, Amari Avery, Augustin Valery, Kuang Yang, Jack Nicklaus, Gary Player","United States","2013-12-12",2013,"PG","100 min","Children & Family Movies, Documentaries, Sports Movies","They are fiercely competitive athletes, determined to become champions on one of the world's toughest golf courses. And they're still in grade school."
"s5939","Movie","Aziz Ansari: Buried Alive","Will Lovelace, Dylan Southern","Aziz Ansari","United States","2013-11-01",2013,"TV-MA","80 min","Stand-Up Comedy","""Parks and Recreation"" star Aziz Ansari takes the stage to share his unfiltered views on adulthood, babies, marriage, love and more in the modern era."
"s5940","TV Show","The 4400","Unknown Director","Joel Gretsch, Jacqueline McKenzie, Patrick John Flueger, Conchita Campbell, Chad Faust, Richard Kahan, Mahershala Ali, Billy Campbell","United States, United Kingdom","2013-09-01",2007,"TV-14","4 Seasons","TV Dramas, TV Mysteries, TV Sci-Fi & Fantasy","4400 people who vanished over the course of five decades suddenly reappear. None have aged, and slowly it's revealed that they have mysterious powers."
"s5941","TV Show","Breaking Bad","Unknown Director","Bryan Cranston, Aaron Paul, Anna Gunn, Dean Norris, Betsy Brandt, R.J. Mitte, Bob Odenkirk, Steven Michael Quezada, Jonathan Banks, Giancarlo Esposito","United States","2013-08-02",2013,"TV-MA","5 Seasons","Crime TV Shows, TV Dramas, TV Thrillers","A high school chemistry teacher dying of cancer teams with a former student to secure his family's future by manufacturing and selling crystal meth."
"s5942","Movie","Being Elmo: A Puppeteer's Journey","Constance Marks","Kevin Clash, Whoopi Goldberg","United States","2012-02-21",2011,"PG","76 min","Documentaries","Whoopi Goldberg narrates Elmo creator Kevin Clash's remarkable journey from a working-class Baltimore neighborhood to Jim Henson's ""Sesame Street."""
"s5943","Movie","A Stoning in Fulham County","Larry Elikann","Ken Olin, Jill Eikenberry, Maureen Mueller, Gregg Henry, Nicholas Pryor, Noble Willingham, Peter Michael Goetz, Ron Perlman, Theodore Bikel, Olivia Burnette, Bill Allen, Brad Pitt","United States","2011-10-01",1988,"TV-14","95 min","Dramas","After reckless teens kill an Amish child, a prosecutor attempts to bring the youths to justice despite the condemnation he faces from the community."
"s5944","Movie","Adam: His Song Continues","Robert Markowitz","Daniel J. Travanti, JoBeth Williams, Richard Masur, Martha Scott, Paul Regina","United States","2011-10-01",1986,"TV-MA","96 min","Dramas","After their child was abducted and murdered, John and Reve Walsh fought to raise national awareness of the problem of missing children."
"s5945","Movie","Hard Lessons","Eric Laneuville","Denzel Washington, Lynn Whitfield, Richard Masur, Akosua Busia","United States","2011-10-01",1986,"TV-14","94 min","Dramas","This drama based on real-life events tells the story of George McKenna, the tough, determined new principal of a notorious Los Angeles high school."
"s5946","Movie","In Defense of a Married Man","Joel Oliansky","Judith Light, Michael Ontkean, Jerry Orbach, Pat Corley, Nicholas Campbell, John Colicos, Cynthia Sikes, Johnny Galecki","United States","2011-10-01",1990,"TV-14","94 min","Dramas","A lawyer's husband is having an affair. When his mistress is found dead, he becomes the prime suspect – and his wife must take charge of his defense."
"s5947","Movie","Quiet Victory: The Charlie Wedemeyer Story","Roy Campanella II","Pam Dawber, Michael Nouri, Bess Meyer, Peter Berg, James Handy, Kyle Chandler","United States","2011-10-01",1988,"TV-PG","93 min","Dramas, Sports Movies","When high school football coach Charlie Wedemeyer is diagnosed with Lou Gehrig's disease, he perseveres in leading his team despite becoming disabled."
"s5948","Movie","Strange Voices","Arthur Allan Seidelman","Nancy McKeon, Valerie Harper, Stephen Macht, Tricia Leigh Fisher, Millie Perkins","United States","2011-10-01",1987,"TV-PG","96 min","Dramas","When their college-age daughter suddenly begins acting erratically and is diagnosed with schizophrenia, a desperate couple seeks treatment for her."
"s5949","Movie","The Ryan White Story","John Herzfeld","Judith Light, Lukas Haas, Michael Bowen, Nikki Cox, George Dzundza, Valerie Landsburg, Sarah Jessica Parker, Mitchell Ryan","United States","2011-10-01",1989,"TV-PG","94 min","Dramas","After contracting HIV from a tainted blood treatment, teenaged hemophiliac Ryan White is forced to fight for his right to attend public school."
"s5950","Movie","Too Young the Hero","Buzz Kulik","Ricky Schroder, Jon DeVries, Debra Mooney, Mary-Louise Parker, Christopher Curry, Rick Warner, Tom Wood","United States","2011-10-01",1988,"TV-MA","94 min","Dramas","Twelve-year-old Calvin manages to join the navy and serves in the battle of Guadalcanal. But when his age is revealed, the boy is sent to the brig."
"s5951","Movie","Triumph of the Heart","Richard Michaels","Mario Van Peebles, Susan Ruttan, Lane R. Davis, Lynn Whitfield, Adam Faraizl, Polly Holliday, Jay Pennison, John Schuhmacher","United States","2011-10-01",1991,"TV-PG","93 min","Dramas, Sports Movies","This drama tells the tale of Ricky Bell, a pro running back with the Tampa Bay Buccaneers who died of a muscle disease in the prime of his career."
"s5952","Movie","Unspeakable Acts","Linda Otto","Jill Clayburgh, Brad Davis, Sam Behrens","United States","2011-10-01",1990,"TV-14","95 min","Dramas","Laurie and Joseph are doctors who interview sexually abused children. With a lot of energy they track down a pedophile who has abused many toddlers."
"s5953","Movie","Victim of Beauty","Roger Young","William Devane, Jeri Ryan, Michele Abrams, Nick Searcy, Linda Pierce, J. Don Ferguson, Butch Slade, Joyce Bowden-Kirby","United States","2011-10-01",1991,"TV-14","93 min","Dramas, Thrillers","A beauty pageant winner is stalked by a serial killer who kidnaps her sister and torments her family in this thriller based on a shocking true story."
"s5954","Movie","Joseph: King of Dreams","Rob LaDuca, Robert C. Ramirez","Ben Affleck, Mark Hamill, Richard Herd, Maureen McGovern, Jodi Benson, Judith Light, James Eckhouse, Richard McGonagle, David Campbell, Steven Weber, Dan Castellaneta, Rene Auberjonois, Ken Hudson Campbell, Tom Virtue, Jeff Bennett","United States, France, United Kingdom","2011-09-27",2000,"TV-PG","75 min","Children & Family Movies, Dramas, Faith & Spirituality","With his gift of dream interpretation and his brilliantly colored coat, Joseph inspires jealousy in his brothers in this animated Bible story."
"s5955","Movie","Even the Rain","Icíar Bollaín","Luis Tosar, Gael García Bernal, Juan Carlos Aduviri, Karra Elejalde, Raúl Arévalo, Carlos Santos, Cassandra Ciangherotti, Milena Soliz, Leónidas Chiri, Vicente Romero, Daniel Currás, Pau Cólera","Spain, Mexico, France","2011-05-17",2010,"TV-MA","103 min","Dramas, International Movies","While making a film about the incursion of Christopher Columbus in the New World, a director finds the Bolivian locals protesting modern exploitation."
"s5956","Movie","Splatter","Joe Dante","Corey Feldman, Tony Todd, Tara Leigh, Erin Way, Mark Alan, Stuart Pankin","United States","2009-11-18",2009,"TV-MA","29 min","Horror Movies","After committing suicide, a washed-up rocker returns from the grave to torment the five people who betrayed him in life."
"s5957","Movie","Just Another Love Story","Ole Bornedal","Anders W. Berthelsen, Rebecka Hemse, Nikolaj Lie Kaas, Charlotte Fich, Dejan Cukic, Karsten Jansfort, Flemming Enevold, Bent Mejding, Ewa Fröling, Josephine Raahauge, Timm Vladimir, Ditte Hansen","Denmark","2009-05-05",2007,"TV-MA","104 min","Dramas, International Movies","When he causes a car accident that leaves a young woman with amnesia, a man finds himself telling incredible lies to make her and her family happy."
"s5958","Movie","To and From New York","Sorin Dan Mihalcescu","Barbara King, Shaana Diya, John Krisiukenas, Yoriko Haraguchi, David Crane, Chad Thomas","United States","2008-01-01",2006,"TV-MA","81 min","Dramas, Independent Movies, Thrillers","While covering a story in New York City, a Seattle-based reporter uncovers a link between two missing women that changes her article entirely."
"s6055","Movie","A Russell Peters Christmas","Henry Sarwer-Foner","Russell Peters, Pamela Anderson, Michael Bublé, Jon Lovitz, Scott Thompson, Faizon Love, Goapele, Ted Lange","Canada","2013-11-01",2011,"NR","44 min","Stand-Up Comedy","Inspired by the variety shows of the 1970s, ""A Russell Peters Christmas"" is a sweet, silly, sentimental and, most of all, funny Christmas special."
"s6426","Movie","Casa de mi Padre","Matt Piedmont","Will Ferrell, Gael García Bernal, Diego Luna, Genesis Rodriguez, Pedro Armendáriz Jr., Nick Offerman, Efren Ramirez, Adrian Martinez","United States, Mexico","2012-11-14",2012,"R","84 min","Comedies","Will Ferrell stars as a Spanish-speaking cowboy in this comedy about a Mexican clan trying to rescue their ranch from greedy creditors."
"s6612","TV Show","Dinner for Five","Unknown Director","Unknown Cast","United States","2008-02-04",2007,"TV-MA","1 Season","Stand-Up Comedy & Talk Shows","In each episode, four celebrities join host Jon Favreau for dinner and share revealing stories about both show business and their personal lives."
"s6886","TV Show","Gossip Girl","Unknown Director","Blake Lively, Leighton Meester, Penn Badgley, Chace Crawford, Ed Westwick, Kelly Rutherford, Matthew Settle, Taylor Momsen, Jessica Szohr, Zuzanna Szadkowski, Connor Paolo","United States","2013-10-08",2012,"TV-14","6 Seasons","TV Dramas, Teen TV Shows","A group of hyperprivileged Manhattan private-school kids seem to get away with everything. Except an anonymous blogger is watching their every move."
"s7057","Movie","Iliza Shlesinger: War Paint","Jay Chapman","Iliza Shlesinger","United States","2013-09-01",2013,"NR","75 min","Stand-Up Comedy","""Last Comic Standing"" winner Iliza Shlesinger unleashes her acerbic, stream-of-conscious comedy on an unsuspecting audience in her hometown of Dallas."
"s7113","TV Show","Jack Taylor","Stuart Orme","Iain Glen, Killian Scott, Nora-Jane Noone, Tara Breathnach, Frank O'Sullivan","United States, Ireland","2013-03-31",2016,"TV-MA","1 Season","Crime TV Shows, International TV Shows, TV Dramas","Ken Bruen's bestselling crime novels leap to life in this series of TV movies featuring Irish cop-turned-private-investigator Jack Taylor."
"s7242","Movie","Kung Fu Panda: Holiday","Tim Johnson","Jack Black, Angelina Jolie, Dustin Hoffman, Jackie Chan, Seth Rogen, Lucy Liu, David Cross, James Hong, Dan Fogler","United States","2012-12-01",2010,"TV-PG","26 min","Children & Family Movies, Comedies","As preparations for the Winter Feast build, Po is caught between his obligations as the Dragon Warrior and his family holiday traditions."
"s7371","Movie","Mad Ron's Prevues from Hell","Jim Monaco","Nick Pawlow, Jordu Schell, Jay Kushwara, Michael Townsend Wright, Anthony Kelly, Happy Goldsplatt, Ron Roccia, Fred Pomerleau, Joe Amodei, Nicholas Kitsopoulos","United States","2010-11-01",1987,"NR","84 min","Cult Movies, Horror Movies","This collection cherry-picks trailers, forgotten scenes and poster art from 47 gory oldies, including Bay of Blood and The Blood Spattered Bride."
"s7416","Movie","Marvel's Iron Man & Hulk: Heroes United","Leo Riley, Eric Radomski","Adrian Pasdar, Fred Tatasciore, Dee Bradley Baker, Robin Atkin Downes, David Kaye","United States","2014-02-16",2013,"PG","72 min","Action & Adventure, Sci-Fi & Fantasy","When scientists join Hulk's gamma energy with Tony Stark's Arc Reactor, the resulting force creates a foe that only the two Marvel heroes can combat."
"s7909","TV Show","Russell Peters vs. the World","Unknown Director","Russell Peters","United States","2013-10-14",2013,"NR","1 Season","Docuseries, Stand-Up Comedy & Talk Shows","A four-part docu-series that's an exclusive, backstage pass to global comedy superstar Russell Peters' record-breaking ""Notorious"" world tour."
"s7910","Movie","Russell Peters: Notorious","Dave Higby","Russell Peters","United States","2013-10-14",2013,"NR","72 min","Stand-Up Comedy","Global comedy star Russell Peters leaves no ethnic or cultural stereotype unsatirized in this outrageous standup appearance in Sydney, Australia."
"s8456","Movie","The Pirate Fairy","Peggy Holmes","Mae Whitman, Christina Hendricks, Tom Hiddleston, Lucy Liu, Raven-Symoné, Megan Hilty, Pamela Adlon, Angela Bartys, Jim Cummings, Carlos Ponce, Mick Wingert, Kevin Michael Richardson, Jeff Bennett, Rob Paulsen, Grey DeLisle, Kari Wahlgren, Jane Horrocks, Jesse McCartney, Anjelica Huston","United States","2014-06-15",2014,"G","78 min","Children & Family Movies","In this spritely tale, Tinker Bell and her friends set out to find free-spirited fairy Zarina after she makes off with some precious Blue Pixie Dust."
"s8711","TV Show","Weeds","Unknown Director","Mary-Louise Parker, Hunter Parrish, Alexander Gould, Kevin Nealon, Justin Kirk, Elizabeth Perkins, Allie Grant, Andy Milder, Tonye Patano, Romany Malco","United States","2014-04-01",2012,"TV-MA","8 Seasons","TV Comedies, TV Dramas","A suburban mother starts selling marijuana to her affluent neighbors so she can maintain her comfortable lifestyle after her husband's sudden death."
